movieId,keywords
1,rescue friendship mission jealousy villain bullying elementary school rivalry anthropomorphism friends computer animation buddy walkie talkie toy car boy next door new toy neighborhood toy comes to life resourcefulness toy hilarious cheerful pixar
2,giant insect board game disappearance jungle recluse stampede based on young adult novel vibrant
3,fishing sequel old man best friend wedding italian restaurant old friends duringcreditsstinger pranks
4,based on novel or book single mother divorce anxious friendship between women cautionary adoring celebratory comforting african american romance african american friendship
5,"daughter baby parent child relationship midlife crisis pregnancy confidence aging sequel remake los angeles, california pregnant woman contraception gynecologist pregnant"
6,"robbery chase obsession detective heist thief honor murder betrayal gang los angeles, california cat and mouse bank robbery criminal mastermind cynical ex-con one last job loner bank job neo-noir crime epic antagonistic assertive authoritarian bold"
7,"chauffeur sibling relationship paris, france transformation birthday party family business  long island, new york playboy teenage crush millionaire marriage engagement high society merger impossible love family disapproval scheme wealth differences wealthy family father daughter relationship brother brother relationship unlikely romance romantic"
8,based on novel or book mississippi river male friendship restless youth rural americana
9,"explosive hostage ice hockey terrorism vice president pittsburgh, pennsylvania pittsburgh penguins"
10,"computer virus cuba falsely accused secret intelligence service secret identity secret base kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg, russia red army james bond"
11,new love usa president the white house holiday global warming press fossil fuel dating class differences widower wildlife conservation lobbyist father daughter relationship widower with daughter romantic
12,vampire satire spoof dracula
13,wolf pet cartoon villain dog-sledding race alaska dog goose bear attack dog sled cartoon wolf pets cartoon animal
14,"usa president washington dc, usa government presidential election 1970s watergate scandal biography historical figure richard nixon 1960s ambiguous disapproving disdainful disheartening earnest empathetic frustrated"
15,ship treasure exotic island island map scalp treasure map sword fight betrayal pirate heroine swashbuckler adventurer pirate ship 17th century
16,drug abuse casino based on novel or book poker italian american gambling 1970s fbi pimp greed cocaine overdose marriage car bomb rise and fall money murder organized crime mafia jewish american las vegas desert safe deposit box 1980s dramatic suspenseful brutal violence fbi surveillance
17,"secret love london, england countryside based on novel or book widow military officer servant country life pneumonia inheritance period drama rainstorm decorum horse carriage young love dowry social class 19th century penniless social elite bloodletting free spirited sussex sisters love marry for money secret engagement devonshire, england"
18,"hotel new year's eve witch bet sperm hotel room anthology los angeles, california hoodlum multiple storylines woman director réveillon"
19,kidnapping africa indigenous human animal relationship bat stupidity slapstick comedy animals pets
20,new york city sibling relationship subway new york subway train robbery
21,"based on novel or book miami, florida gambling gangster money murder travel mobster mafia business debt hollywood drugs producer con"
22,police brutality psychology police operation police protection psychologist serial killer cowardliness
23,"rescue central intelligence agency (cia) hitman cat bank mexican standoff seattle, washington mission of murder hidden camera rivalry shootout police chase sniper rifle detroit, michigan silencer double cross caribbean sea"
24,teenage boy held at gunpoint teacher student relationship albino fainting christ allegory psionic power healing power flickering light extrasensory perception pale powerful
25,"hotel room dying and death individual prostitute lovesickness rage and hate casino unsociability alcohol love at first sight movie business screenwriter alcoholism los angeles, california las vegas alcohol abuse dramatic depressing tragic"
26,jealousy based on play or musical friends the moors (people)
27,1970s female friendship coming of age gynecologist photocopier truth or dare woman director
28,marriage proposal strong woman based on novel or book love triangle marriage unrequited love family in peril old flame admiral bankruptcy marriage broker lovers reunited lovers reunion betrothal rejected suitor
29,rescue friendship island dreams clone dystopia eye aging steampunk childhood child kidnapping flea
30,"shanghai, china chinese mafia coming of age mistress criminal underworld drug lord triad modern china nightclub singer 1930s cabaret singer chinese triad"
31,high school california rap music karate naval officer teacher based on memoir or autobiography amusement park schoolteacher
32,"biological weapon philadelphia, pennsylvania schizophrenia stockholm syndrome airplane world war i underground insanity asylum paranoia prison cell dystopia pimp lion post-apocalyptic future time travel florida keys mental breakdown melancholy past dormitory insane asylum volunteer drug use flashback remake psychiatric hospital jail mental institution alternate history disease lethal virus paradox psychiatrist monkey epidemic trapped street life nonlinear timeline medical research gas mask psychosis subterranean virus mysterious recurring dream 1990s reflective escaped animal future noir animal research anxious 2030s irreverent inspirational absurd suspenseful critical intense complicated ominous"
34,farm sheep pig alarm clock cat duck heroism affection piglet anthropomorphism based on children's book dog separation animals farmer grandson sheepdog talking pig christmas
36,prison death penalty right and justice rape rage and hate unsociability court case court nun penalty therapist sentence forgiveness self-discovery despair prison cell socially deprived family death row doomed man death sentence lethal injection charity mercy petition cowardliness catholic angry dreary incredulous depressing bitter callous horrified
38,matchmaking orphan identical twin relationship sabotage
39,puberty high school based on novel or book make a match spoiled child coming of age matchmaking conflict wedding high school friends makeover woman director popular girl matchmaker gay theme match making cheerful
40,based on novel or book south africa apartheid priest 1940s race relations
41,england kidnapping murder king
42,"new york city vietnam drug abuse post-traumatic stress disorder (ptsd) war veteran 1970s minister male friendship redemption loss of virginity heist money milkman battlefield high school graduation revolutionary courtroom mercy killing armored truck bronx, new york city medic 1960s war trauma african american economic struggle"
43,jealousy court fountain medicine wealth spaniel gloves 17th century british monarchy
44,island martial arts monster saving the world magic villain gore god alternate dimension ninja sorcerer tournament underground fighting based on video game ghost hand to hand combat warrior action hero supernatural power mortal kombat good versus evil
45,pedophilia adultery based on novel or book winter obsession housewife new hampshire mockumentary mafia newswoman ice skating murder trial narcissistic personality disorder satirical fame-seeking tv presenter weather girl punks punk kids
46,marriage proposal wedding vows married couple marriage monogamy advice quilt love family holiday extramarital affair grandmother woman director
47,rage and hate police s.w.a.t. sadism self-fulfilling prophecy psychopath detective investigation insomnia murder serial killer religion shootout corpse seven deadly sins depravity neo-noir grim urban gothic anxious suspenseful disdainful seven: los siete pecados capitales
48,"culture clash cartoon villain colony forbidden love musical native american unrequited love interracial romance colonisation virginia star crossed lovers intercultural relationship based on myths, legends or folklore 17th century shamanism animal sidekick search for gold 1600s"
49,professor lgbt woman director lesbian
50,"new york city robbery relatives heist flashback police corruption whodunit los angeles, california theft criminal criminal mastermind cargo ship mind game neo-noir mystery villain excited rashomon effect"
52,prostitute adoption adoptive father child prodigy childlessness looking for  birth parents porn star adoptive mother illegal prostitution pygmalion kids adopted son
53,
54,sports football (soccer) woman director
55,"sibling relationship alcohol heroin seattle, washington artist singer drugs folk singer sister sister relationship"
57,"holiday generations conflict baltimore, usa thanksgiving family clan family conflict woman director christmas"
58,"island fisherman letter postman poet naples, italy love poverty"
60,based on novel or book cupboard puppet based on children's book game parallel world toy comes to life toy soldier
61,rape gun self-defense rape and revenge grieving parents
62,"high school husband wife relationship composer music teacher mentor deaf-mute portland, oregon marching band teacher student relationship high school teacher disabled teaching retirement party sign languages forced retirement 1960s 1990s father son relationship inspiring teacher"
63,hip-hop slang date gangster cousin parody social satire hood gang racism satirical
64,"island boston, massachusetts car thief painting romcom rhode island thief mansion art thief new england art theft stealing a car seasickness squatting 1990s stolen car fbi agent criminals"
65,pollution biotope vegetarian biosphere
66,computer hacker virtual reality technology sword fight revenge cyberpunk scientist cyberspace surveillance based on short story world domination supernatural power
68,estate agent van love triangle southern france menage a trois polyamory woman director
69,"drug dealer rap music parent child relationship rapper male friendship urban life slacker pot smoking bully marijuana los angeles, california drugs"
